sector_id_i	sector_id_j	corr
4	30	0.0138504
4	31	0.0278134
4	32	0.02261
4	33	0.0138504
4	34	0.0168303
4	35	0.0301946
5	1	0.0111359
5	2	0.0048994
5	3	0.0078691
5	4	0.0069722
5	5	0.0079385
5	6	0.006196
5	7	0
5	8	0.0101834
5	9	0.0084466
5	10	0.0044054
5	11	0.0058803
5	12	0.0051855
5	13	0.0030354
5	14	0.0031297
5	15	0.0031578
5	16	0.0040581
5	17	0.0021436
5	18	0.0115564
5	19	0.0115564
5	20	0.0115564
5	21	0.0225756
5	22	0.0115564
5	23	0.0225756
5	24	0.0225756
5	25	0
5	26	0
5	27	0.0153985
5	28	0.0098453
5	29	0.0187378
5	30	0.0098453
5	31	0.0184131
5	32	0.0138338
5	33	0.0098453
5	34	0.0103123
5	35	0.0225756
6	1	0.0089922
6	2	0.004284
6	3	0.0065405
6	4	0.005795
6	5	0.006196
6	6	0.0071539
6	7	0
6	8	0.0077801
6	9	0.0065926
6	10	0.0046362
6	11	0.0048522
6	12	0.0050078
6	13	0.0030496
6	14	0.0022381
6	15	0.0022582
6	16	0.0040302
6	17	0.0023839
6	18	0.0101176
6	19	0.0101176
6	20	0.0101176
6	21	0.0192862
6	22	0.0101176
6	23	0.0192862
6	24	0.0192862
6	25	0
6	26	0
6	27	0.01507
6	28	0.0076574
6	29	0.0154355
6	30	0.0076574
6	31	0.0157411
6	32	0.0119462
6	33	0.0076574
6	34	0.0081571
6	35	0.0192862
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0.0076413
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
7	25	0
7	26	0
7	27	0
7	28	0
7	29	0
7	30	0
7	31	0
7	32	0
7	33	0
7	34	0
7	35	0
8	1	0.0128465
8	2	0.0086158
8	3	0.0161779
8	4	0.0143339
8	5	0.0101834
8	6	0.0077801
8	7	0
8	8	0.025972
8	9	0.0108353
8	10	0.0086999
8	11	0.0091078
8	12	0.0067164
8	13	0.0076957
8	14	0.0038716
8	15	0.0039063
8	16	0.0115964
8	17	0.004299
8	18	0.0305903
8	19	0.0305903
8	20	0.0305903
8	21	0.0502014
8	22	0.0305903
8	23	0.0502014
8	24	0.0502014
8	25	0
8	26	0
8	27	0.0421466
8	28	0.0236121
8	29	0.0401339
8	30	0.0236121
8	31	0.0471919
8	32	0.037486
8	33	0.0236121
8	34	0.0288474
8	35	0.0502014
9	1	0.0118486
9	2	0.005213
9	3	0.0083727
9	4	0.0074184
9	5	0.0084466
9	6	0.0065926
9	7	0
9	8	0.0108353
9	9	0.0089873
9	10	0.0046873
9	11	0.0062566
9	12	0.0055174
9	13	0.0032297
